,REVIEW_COMMENT_MESSAGE,SENTIMENT
152,at agora n recebi nada colcha prevista anteontem 18/12 at agora nada,1
153,pinc is vieram amassados n condiz algumas fotos condiz descri o. s fracos n cabem case veio descolado,0
154,produto correspondente expectativas entregue antes prazo estabelecido,1
155,produto veio diferente q mostra foto n luxo acolchoado dizia,0
156,produto chegou dentro prazo atende custo benef cio m bolsa n forrada al pl stico satisfeita,1
157,plenamente satisfeita aquisi o. recomendo nica coisa n concordo valor frete aut ssimo,1
158,parece mantem bem alimento murchar batata palha tampa estranha parece n fecha inox tampa feio,0
159,aguardando resposta at hoje sobre produtos j pagos ainda n recebi 03 iguais necessito falar pessoas n m quina grava es,0
160,gostei comprar recebi produto antes prazo boa qualidade recomendo,1
161,super recomendo stark sempre chegando antes dta prevista =d,1
162,entrega feita prazo produto perfeitas condicoes parabens equipe,1
163,gostaria receber produtos corretos tentei realizar troca devolu dinheiro cart site lannister n possibilita realizado,0
164,produto perfeito entrega r pida satisfeit ssima,1
165,produto veio defeito devolvi conforme informado.postado correio conforme indicado.e at hoje n recebi nenhuma notifica empresa quanto devolu an lise ter meuressarcimento,0
166,s recebemos 1 cartucho j abrimos reclama site ainda n obtive resposta,0
167,produto alta qualidade descri confere produto entregue tempo certo recomendo,1
168,tampo mesa chegou todo amassado batido,0
169,dentro prazo m poderiam agilizar outro produto entregue 2 dias,0
170,rel gio lindo entrega r pida recomendo,1
171,adorei pequeno f cil usar n arranha apela limpa pele .. recomendo,1
172,bom produto melhor esperava entregue prazo gostei bastante,1
173,gostei objeto veio comprado j comprei outras lojas veio outra cor gostei lannister tudo ok,1
174,aparelho chegou apresentando defeito n est apresentando todas fun es visor digital,1
175,produto n est medidas corretas indicadas oferta q ligar vcs troca,0
176,produto passou prazo entregar tento resolver problema empresa n consigo falar ningu m. tudo fazem passar reclamar sistema n funciona,0
177,s recebi produto consta j recebi dois n recebi sapateira,1
178,deram prazo grande entrega produto n conseguiram entregar prazo,0
179,comprei tapete borracha tr4 mitsubishi loja entregou tapete pvc horrivel titulo ta tapete borracha tr4 enganaram agora fazer sendo despesa devolu,0
180,timo perfume fragr ncia maravilhosa recomendo,1
181,boa rapida produto veio bom estado agora fazer testes,1
182,produto superou expectativa prazo entrega antecipado 7 dias j instalei ficou show,1
183,previs entrega at 18/10 recebi 05/10 excelente,1
184,loja si boa pena americana nao suporte cliente,1
185,achei qualidade produto ruim n veio nenhuma bucha parafuso fixar parede,1
186,nico problema marca data marca americana,1
187,acho produto deveria ter prazo validade maior,1
188,boa noite lojas lannister s timas adoro site hoje fa pouqu ssima compra frete abusivo infelizmente n compensa antes precisamos comprar obrigada,1
189,agrade pois recebi produto correto conforme encontrado site entrega super r pida fiquei satisfeito certeza vou recomentar amigo,1
190,entrega r pida produto conforme anunciado,1
191,produto ainda n entregue j fiz reclama at agora n nenhuma previs entrega super insatisfeito quero dinheiro volta denunciar procon,0
192,impress est saindo tinta fraquinha ...,1
193,comprei rosa bra brancos entregam toda preta,0
194,satisfeita chegou antes prazo super recomendo,1
195,produto chegou antes prazo estipulado atendeu plenamente expectativas,1
196,entrega dentro prazo produto nenhum problema,1
197,boas pessoal atendente lannister atenciosa m loja deveria ter entregado produto cancelou comprar aconteceu,1
198,recomendo todos n problema nenhum mercadoria prazo timos,1
199,gostei ter comprado nesta loja atendimento perfeito,1
200,comprei cadeira recebi prazo m cadeira veio quebrada parte inferior poderiam ter maior cuidado embalagem,1
201,sempre compro sempre recebo produto certo prazo antes prazo,1
202,bom produto entrega r pida recomendo,1
203,produto recebido prazo perfeitas condi es,1
204,recebi outra boneca quero devolver n consigo contato jamais compraria novamente dessa loja,0
205,tima compra frete nao compensa pesa or amento devia ter frete grates,1
206,penso deveria modo comunicar empresa caso acontecesse encomenda n entregue,0
207,bom j segundo objeto compro recebi problema nenhum,1
208,boa noite n gostei pois nunca conseguimos falar vcs telefone,0
209,produto n atendeu espectativas pois potinhos s dificeis abrir fechar bandeja onde vai potinhos veio pontos ferrugem,1
210,satisfeito entrega super r pida .. show .. parab ns .. vacilei comprei celular casas bahia quase m s n entregaram ..,1
211,n recebi jogo cor tabaco s vermelho,0
212,nao entregue casa nao gostei nao tempo indo correios ..,0
213,mercadoria n entregue j paguei primeira fatura quero cancelar compra pois paguei frete n recebi mercadoria,0
214,produto ja chegou defeito n fucionou conforme necessidade uso infelizmente ultima compra totalmente insatisfeito,0
215,recebi apenas 1 caixa 100 unidades pedi 2 caixas,1
216,comprei dois pendentes s chegou preciso saber,0
217,tudo conforme entrega r pida pena n verifiquei cor pois preta precisava cinza outro ponto lixar pouco funcionar nada demais,1
218,produto f cil montagem atende perfeitamente prop sito otimizar espa,1
219,produto veio amassados tamb m n est funcionando corretamente,0
220,esperando h vinte dias ainda n recebi produto n consigo nenhuma informa,0
221,aguardando posi empresa fazer devolu produto,0
222,fornecedor n enviou produto correto solicitei sabor chocolate enviado outro sabor,0
223,continuem assim responsabilidade consumidor tanto produto quanto prazo entrega primeira vez compro vou comprar muitas obrigado,1
224,adorei moderno bonito cantinho caf vai ficar top,1
225,f cil manuseio at presente atende expectativas,1
226,rel gio lindo entrega antes prazo,1
227,amei chegou rapidinho ainda vou testa-lo.obrigado,1
228,gostei comprei vcs obrigada breve farei outras compras vanda,1
229,recebi bolsa diferente gostei previsto pra 31 janeiro achando tempo porque pra escola aguardando vale compra primeira compra bolsa n deu certo,1
230,recebi produto queria antes prazo combinado bom recomendo certeza,1
231,propaganda est escrito mixer el trico veio port til tr s quebrou queria el trico voc s devem especificar melhor produtos,1
232,produto entregue antes prazo combinado n primeira vez compro site lojas lannister recomendo tal empresa seriedade trato clientes,1
233,comprei 2 produtos so mandaram 1 n mim deram nenhuma justificativa,0
234,problema entrega pois n ningu m casa receber mercadoria hor rio passaram,0
235,atenciosos ligam dar acompanhamento bom prazo validade demorou chegar agora verificar qualidade produto,1
236,eficiente entregou bem r pido recomendo,1
237,chegou antes data prazo porem vazou pouco produto,1
238,sempre compro voc s itens chega perfeito estado ....,1
239,produto entregue antes prazo timo estado,1
240,entrega super r pida produto tima qualidade recomendo,1
241,demora pouco pra esquentar pot ncia m xima 5. atende bem rimeiros dias uso cheiro meio borracha queimada passa ... recomendo praticidade custo/benef cio,1
242,entregue bem embalado entrega rapido comforme prometido comforme imagem,1
243,produto chegou antes prazo perfeitas condi es,1
244,produto n corresponde comprei pel cula menor tela celular n cobre toda tela,0
245,produto conforme anunciado veio antes prazo ... perfeito,1
246,ainda n usei nenhuma viagem parece boa,1
247,produto encaminhado cidade destino dia 31/03 at momento n recebi,0
248,simplesmente n recebi produto nao posicionamento decente acontecer,0
249,n recebi bra ducha desviador somente ducha 20x20 bra 30cm,0
250,produto pode mal funcionamento telefone n est conseguindo fazer leitura,0
251,loja vergonha n entregaram pedido descara duerem cancelei porcaria vendedor stark escolheu mal paeceiro,0
252,recebi produto eh falso quero dinheiro volta,1
253,produto n veio conforme site mostrava calend rio site recebi veio dif cil fazer troca estorno produto,0
254,comprei dois produtos sendo n chegou cabo adaptador udio,0
255,gostei chegou tudo certinho at antes prazo entrega,1
256,fornecedor targaryen mandou massageador completamente diferente comprei pre inferior cheio avalia es negativas ningu m erra mandando superior n curioso .. n recomendo,0
257,ruim n veio produto outro veio errado ..,0
258,abri protocolo devolu produto baixa qualidade deu problema primeiro dia uso lannister virou mercado livre .... 6 pedidos 6 problemas,0
259,otimo atendimento tudo certo entregue dentro prazo,1
260,obrigada qualidade produto entrega tbm previsto 10/08 chegou dia 22/07 adorei parab ns,1
261,recebi encomenda forma normal dentro prazo contudo recebi primeira data entrega estimada posterior data aumentando n gostei dessa atitude demorou 2 semanas,0
262,pedi q cancelacem antes nf emitida pq havia ganhado presente igual ... n cancelaram ... mandaram assim msm ... pedi nf ainda n sido emitida,0
263,n recebi produto completo comprei quantidade 02 recebi somente 01. consta nota entrega quantidade 02 volume 01. quero receber outra custo nenhum pois erro n,1
264,bolsas s lindas cor bem pr xima foto dentro n forro descri acabamento deixou pouco desejar entrega super r pida,1
265,preciso urgente desta mercadoria prazo maximo at dia 3 at agora n chegou,0
266,otimo material bem resistente espa osa gostei,1
267,produto entregue bem embalado perfeitas condi es,1
268,compra efetuada dois ursos rezam rosa azul recebi somente produtos adquiri rosa aguardando retorno vendedor sobre ocorreu vou receber outro,1
269,produto defeito apresenta risco n confi vel j eviei e-mail efetuei liga es retorno,0
270,modo geral satisfat rio grava laser justamente laser deixa desejar quanto centraliza pingente marca bem qualidade grava,1
271,chegou antes data prevista recomendaria amigos loja stark est parab ns,1
272,poderia ter agilizado entrega m recebi produto timas condi es,1
273,protudo chegou timo estado conserva antes prazo,1
274,produto excelente qualidade entrega feita antes prazo previsto satisfeita,1
275,produto lindo est pre excelente entrega super r pida ocorrendo antes prazo recomendo quarto ficou irado,1
276,produto veio nota fiscal solicitar telefone,1
277,gosto comprar nessa loja porque agente precisa avisar entrega,1
278,descri produto errada n consegui usar produto pedi cancelamento fazem 15 dias ainda n obtive resposta,0
279,satisfeito aquisi neg cio entrega prazo produto bem embalado nota fiscal caixa original garantia manual usu rio primeiras impress es rel gio est perfeito,1
280,mosquiteiro veio dois furos parte superior pedir mosquiteiro king porem nao veio kiung sim queem,0
281,produto qualidade pre justo entrega dentro prazo produto atendeu expectativas recomendo vendedor,1
282,efetuei compra pagamento duas unidades recebi apenas unidade aguardando tratativa,0
283,adorei produto chegou antes prazo estipulado.estou satisfeita,1
284,quadro entregue correios chegou madeira atr s quebrada tela quadro danificada afundada ... ... chegou avariado produto,1
285,produto razoavel envio produto embalagem propria chegou td amassado quase q danificou,1
286,produto chegou antes prazo bem embalado fornecedor avarias qualidado produto boa,1
287,s gostaria saber dia correto entrega,1
288,bom dia ... comprei bebedouro vermelho met lico ... recebi bebedouro rosa ... obs ... cachorro macho ...,0
289,produto demorou m s entregue tempo demais poderia ter chegado antes data limite tudo ok,1
290,comprei 2 unidades produto veio avariado visto embalagem fraca sendo veio dois buracos fundo panela devido press dog colocado cima,0
291,s acho poderia ter comprado cartuchos n fiz porque cada cartucho veio frete diferente coisa poderiam colocados nico pacote baratearia frete,1
292,comprei lannister tratar loja confian m chegar produto descobri vendido marca targus verdade produto falsificado n confio,1
293,pedido cancelado assim loja enviou produto devolvi produto quero estorno compra cart cr dito,0
294,comprei jogo panelas 8 panelas panela press vermelho panelas tipo oval recebi jogo 6 panelas jogo esp tulas pretos coisa n pedi veio apenas frideira,0
295,comprei dia recebi outro mercadoria excelente,1
296,conforme j solicitei preciso fazer devolu o. n entregue prazo precisa j solicitei aqui j entrei contato vendedor aguardo fazer devolu,1
297,quero saber demais produtos 3 itens,0
298,n posso dar opini sobre produto pois n recebi sobre loja n recomendo pois atrasa entregas,0
299,produto chegou prazo perfeitas condi oes veio embalado forma incrivel bem embalado ... chegou nenhum arranhao,1
300,comprei 2 dois produtos iguais pagar 2 dois fretes empresa poderia ter colocado nica embalagem cobrar apenas frete produto entregue perfeitas condi es timo produto,1
301,entrega muita r pida produto timo estado,1
302,gostaria saber produto mudou embalagem pois comprei embalagem vermelha recebi outra embalagem toda florida preciso saber produto,1
303,lavabo bem bonito igual descri veio mancha bem pequena nada problema recomendo,1
304,recebi antes data prometida recomendo loja,1
305,demorou quase trinta dias .tempo demais,1
306,depende possa avaliar resolverem problema pos compra 4 correios s entregar pacote contendo 2 peneus,0
307,boa tarde problemas pedido sim veio mosqueteiro errado pedi tamanho queen arrastasse at ch c rculo cima bem grande veio pequeno cama casal nor,0
308,ate agora tudo perfeito produto entrega prazo,1
309,comprei 2 rel gios s entregue 1,0
310,produto ok recebido dentro prazo bem antes previsto,1
311,entrega antecipado umas panelas press veio suporte quebrado,0
312,entrega demorada comprei 26/03/2018 at agora n recebi produtos,0
313,dentro prazo informacoes encaminhamento produto forma clara,1
314,n recebi produto produto consta enviado correio ribeir preto correio n recebeu produto envie varias mensagem targaryen n obtive targaryen sujando nome,0
315,produto veio especifica o. calota vendida s mbolo citro n calota veio s mbolo,0
316,ent conprei gostei nao tudo nao achei q melhor,0
317,amei produto super f cil manusear lannister est parab ns pois chegou bem antes prazo,1
318,pedi duas carteiras veio defeito outra veio errada q pedi .... pedi reembolso creio q correr bem,0
319,motor timo s n vem cremalheiras junto,1
320,excelente produto entrega chegou antes prazo previsto timo,1
321,excelente chegou antes combinado parab ns,1
322,gostei produto nao ardencia olhos cheiro alisou 90 fos cabelos acho segunda vez ficara super liso,1
323,entregou antes prazo estipulado timo sempre compro site,1
324,apesar n ter bom acabamento produto bem funcional,1
325,entrega perfeita at antes prazo produto perfeito estado tima qualidade,1
326,veio certinho super r pido amei lustre gente,1
327,recebi apenas 1 detector metal compra 2 unidades podemos resolver aguardo orienta es,0
328,boa noite compra diz wireless 150mbs multilaser 3g n vim modem 3g conecta usb nele,0
329,comprei dois pares alian chegou apenas duas unidades masculinas casa aguardando resposta empresa envio outras duas unidades femeninas n cheopu,0
330,acho deveriam mudar modo entrega pois correios deixam desejar vieram nica vez entregar produto domingo tarde mandaram volta pro remetente produto,0
331,acho deveria enformar rapido onde produto,1
332,recebi desta loja apenas dois pendentes paguei boleto antecipado produto n veio trata-se pendente alum nio meia bola medio escovado valor r 90 quero volta,0
333,vcs t deixando desejar comprei produtos vcs vcs demora entregar ainda cancela pedido autoriza,0
334,produto entregue antes prazo bom custo benef cio,1
335,n recebi outra encomenda dessa loja.estou esperando enviarem duas prote 2kg ...,0
336,fiz uma.compra dois m dois c digo s veio comprei colcha chegou certinho n veio saia cama box,0
337,chegou bem antes prazo determinado tudo certinho amei produto super recomendo,1
338,compro confio comprar sempre chegaram prazo at antes nunca problemas recomendo,1
339,mercadoria conforme pedido chegou antes prazo recomendo,1
340,produto entregue leigos pe v m desmontadas devemos montar algumas tal biciclieta necessitam cola permanecer p melhor op cola madeira,1
341,prazo esgotado produto ainda n entregue,0
342,bom resma chegou muitobem embalada dentro prazo afora vamos testar verificar qualidade papel,1
343,produto correto entregue prazo conforme acordado recomendo,1
344,super recomendo mim agrad vel surpresa n vel atendimento amaricanas.com sensacional,1
345,parab ns loja lannister parceiro produto veio bem embalado mto lindo grande jeito queria cor marrom conforme mostra foto amei pendente,1
346,recebi apenas 1 perfume perfume h2o perfume ototemo n recebi ainda preocupada pois pedido consta recebi dois perfumes,0
347,produto chegou bem antes prazo defeito veio quebrado lugar fazer encaixar bonitinha fr gil tentei realizar troca site n consegui,0
348,ainda nao recebi ultima informacao sobre p produto dia 08/12/2017,0
349,pel cula vidro veio defeito n conseguindo resolver problema,0
350,entrega rapida sobre perfume bom ja melhores valor vale pena,1
351,mercadoria levar menos 20 dias chegar demorou quase dois meses,1
352,produto bom quase 2 meses receber,0
353,s veio capa comprei 3 paguei 100 reais capa,0
354,n original infelizmente p s vendas stark extremamente ruim pois j entrei contato at agora nada consegui ligar fornecedor parceiro j devolveu dinheiro,0
355,entrega r pida pedido entregue conforme solicitado recomendo,1
356,j entrei contato lannister telefone falam q vai mandar link direto parceiro pra saber detalhes entrega conta link n veio p ssimo suporte cliente,0
357,apesar tamanho escova leve f cil manuseio,1
358,comunica respeito consumidor raro comprar aqui sempre,1
359,n recebi produto n recebi justificativa vendedor entrei contato at agora n obtive resposta,0
360,satisfeita rapidez chegou produto bem antes previsto,1
361,loja eficiente entrega correta antes prazo,1
362,recomendaria loja chegou dentro prazo tima mercadoria,1
363,recebi jarra cafeteria mesma n modelo comprei comprei jarra cafeteira electrolux cmm20 recebi n desse modelo cafeteria,0
364,bom produto veio neum defeito bom,1
365,ainda n recebi capa sof t aguardando,0
366,chegou super r pido bem embalado,1
367,ainda n recebi produto ... varios dias fiz compra entrega demorada compras fa online ainda aguardando entrega,0
368,chegou antes data prevista tudo ok,1
369,aberto reclama solicitando reenvio ontem durante tarde aconteceu grato,1
370,infelizmente compensa pagar pouco comprar loja f sica cidade todas lojas inclusive stark est p ssimo prazo entrega produtos,0
371,s gostei coisa rel gio est s parando bateria fraca est novicimo rel gio j est parando,0
372,troca r pida mundo realmente impressionado efici ncia stark n nenhuma burocracia produto troca casa piscar olhos parab ns,1
373,ainda n pode avaliar produto aguardando matriz bot es tamb m comprados site lojas lannister estranhando fato nota fiscal desses produtos n ter sido emitida,1
374,entrega dentro prazo produto excelente condi,1
375,produto igual anunciado super satisfeita.funciona perfeitamente,1
376,cofre bom espa interno prateleira facilitar organiza o. bom produto,1
377,j solicitei devolu produto veio amassado parece queda,0
378,chegou antes prazo produto mto bom,1
379,respondi sim `` recebi produto correto '' falta op o. ainda n vi produto n quis abrir embalagem pois presente caso alguma desconformidade entrarei contato,1
380,mp3 player bonito pequeno contudo som ruim ru chiados troquei fone ouvido apple n mudou nada problema qualidade produto,0
381,produto bonito parece boa qualidade entretanto imagens site produto parecia robusto elegante cor uniforme tom varia ...,1
382,ainda n instalei chegou prazo certinho,1
383,nao veio produto pedi veio quite marmitas 10 pe comprei jogo panelas,1
384,experi ncia compra on-line entrega boas m produto n atendeu s expectativas tendo dificuldades troca /devolu,1
385,parabenizo qualidade produto pontualidade entrega ..,1
386,recebi produto errado comprei original recebi produtos paralelos reciclados picareta,0
